COD,PRODUCTO,Peso
1001,Pesa Rusa 4kg,4
1002,Pesa Rusa 6kg,6
1003,Pesa Rusa 8kg,8
1004,Pesa Rusa 10kg,10
1005,Pesa Rusa 12 kg,12
1006,Pesa Rusa 15kg,15
1007,Pesa Rusa 20kg,20
1008,Pesa Rusa 24kg,24
1009,Pesa Rusa 22kg (IM),22
1010,Pesa Rusa 28kg (C),28
1011,Mancuerna 2 kg x2,4
1012,Mancuerna 3kg x2,6
1013,Mancuerna 5kg x2,10
1014,Mancuerna 8kg x2,16
1015,Mancuerna 10kg x2,20
1016,Mancuerna 12kg x2,24
1017,Mancuerna 15kg x2,30
1018,Mancuerna 20kg x2,40
1019,Discos 3lb x2 ESTÁNDAR,3
1020,Discos 5lb x2 ESTÁNDAR,5
1021,Discos 10lb x2 ESTÁNDAR,10
1022,Discos 20lb x2 ESTÁNDAR,20
1023,Discos 25lb x2 ESTÁNDAR,25
1024,Discos 30lb x2 ESTÁNDAR,30
1025,Discos 40lb x2 ESTÁNDAR,40
1026,Discos 50lb x2 ESTÁNDAR,50
1027,Discos 60lb x2 ESTÁNDAR,60
1028,Discos 5lb x2 OLIMPICO,5
1029,Discos 10lb x2 OLIMPICO,10
1030,Discos 20lb x2 OLIMPICO,20
1031,Discos 25lb x2 OLIMPICO,25
1032,Discos 30lb x2 OLIMPICO,30
1033,Discos 40lb x2 OLIMPICO,40
1034,Discos 50lb x2 OLIMPICO,50
1035,Discos 60lb x2 OLIMPICO,60
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,Extensión Barra Mancuerna 30cm,
1058,Barras mancuernas 35cm cromadas/ roscadas/ Estándar,
1059,Barra recta 120cm cromada/ roscada/ Estándar,
1060,Barra recta 150cm cromada/ roscada/ Estándar,
1061,Barra recta 180cm cromada/ roscada/ Estándar,
1062,,
1063,,
1064,Barra z 120cm cromada/ roscada/Estándar,
1065,Barra romana 88cm cromada/roscada/ Estándar,
1066,Barra romana 100cm cromada/seguros mariposa/ Olimpica,
1067,Barra recta 220cm 20kg /seguros mariposa/ Olimpica,
1068,Barra recta 210cm 15kg /seguros mariposa/ Olimpica,
1069,Seguros collarin para barra Olimpica - Sportfitness,
1070,Barra z cromada/seguros mariposa/ Olimpica,
1071,Barra recta FCK 150cm 10kg/ Seguros mariposa/Olimpica,
1072,Barra recta FCK 220cm 20kg/ Seguros mariposa/Olimpica,
1073,Barra recta FCK 200cm 16kg/ Seguros mariposa/Olimpica,
1074,Barra recta FCK 120cm 8kg/ Seguros mariposa/Olimpica,
1075,Mancuernas ajustables 20lb (Disco 5lb x4 + Barra mancuerna cromada x2 + Seguro roscado x2 ),10
1076,Mancuernas ajustables 24lb (Disco 3lb x8 + Barra mancuerna cromada x2 + Seguro roscado x2),12
1077,Mancuernas ajustables 32lb (Disco 3lb x4 + Disco 5lb x4+ Barra mancuerna cromada x2 + Seguro roscado x2),16
1078,Mancuernas ajustables 40lb (Disco 5lb x8 + Barra mancuerna cromada x2 + Seguro roscado x2),20
1079,Mancuernas ajustables 60lb (Disco 5lb x4+ Disco 10lb x4+ Barra mancuerna cromada x2 + Seguro roscado x2),30
1080,Mancuernas ajustables 72lb (Disco 3lb x4 + Disco 5lb x4+Disco 10lb x4 + Barra mancuerna cromada x2 + Seguro roscado x2),36
1081,,
1082,,
1083,,
1084,,
1085,,
1086,,
1087,,
1088,"Kit barra Col Body SPORTFITNESS (Barra recta 130 cm con agarre en espuma 2,5kg + Disco 1,25kg x2 + Disco 2,5 kg x2 + Disco 5kg x2 + 2 Collarines de seguridad)",
1089,Kit FULL BODY (Discos 10lb x4 + Barra recta 120cm cromada/ roscada/ Estándar + Barras mancuernas x2 35 cm cromadas/ roscadas/ Estándar),20
1090,Kit COL I (Disco 10lb x2 + Barra recta 120cm cromada/ roscada/ Estándar ),10
1091,Kit COL II (Disco 5lb x2 + Disco 10lb x2+ Barra recta 120cm cromada/ roscada/ Estándar),15
